broadcasted_at,fee_price,mined_at
30145699,100001,
28504897,100001,
26795069,100001,
31845775,100001,
31813843,100001,
31815621,100001,
26789678,100001,
28437566,100001,
31231901,100001,
26782064,100001,
23184965,100001,
28350467,100001,
28350641,100001,
26708559,100001,
26077560,100001,
29459927,100001,
23702300,100001,
29409393,100001,
23174996,100001,
28985558,100001,
28253520,100001,
28936639,100001,
28251026,100001,
27253475,100001,
27744437,100001,
27740811,100001,
26038885,100001,
26641472,100001,
27673747,100001,
27666840,100001,
24750545,100001,
27609657,100001,
25983407,100001,
27135604,100001,
26546292,100001,
22643539,100001,
24693609,100001,
26508850,100001,
21953986,100001,
25889721,100001,
25870501,100001,
25870316,100001,
25834332,100001,
24129787,100001,
21939908,100001,
24107404,100001,
22535760,100001,
23103092,100001,
23614354,100001,
23595231,100001,
23088597,100001,
19471075,100001,
23521888,100001,
23545877,100001,
22501616,100001,
22505884,100001,
22488604,100001,
22996320,100001,
22491755,100001,
22481423,100001,
23401509,100001,
22957411,100001,
22938386,100001,
20060711,100001,
14674548,100001,
21290750,100001,
22404688,100001,
20677682,100001,
22354957,100001,
21210872,100001,
21195051,100001,
21190602,100001,
20034782,100001,
21692690,100001,
17048478,100001,
21126173,100001,
21658942,100001,
21115833,100001,
21108632,100001,
17771646,100001,
17004540,100001,
20543209,100001,
19951851,100001,
18329195,100001,
18855513,100001,
18844603,100001,
17006017,100001,
16995190,100001,
12334726,100001,
17634040,100001,
15754703,100001,
17524219,100001,
12298124,100001,
16351944,100001,
18165965,100001,
13420011,100001,
18602174,100001,
18085754,100001,
18043074,100001,
14592304,100001,
18015231,100001,
15701788,100001,
15110096,100001,
11537270,100001,
13387898,100001,
15621704,100001,
12229365,100001,
12750808,100001,
13343128,100001,
13308777,100001,
13967585,100001,
10895993,100001,
13274423,100001,
10898522,100001,
12120633,100001,
10317151,100001,
10885160,100001,
10870152,100001,
13836611,100001,
13816450,100001,
13811850,100001,
10844256,100001,
9309672,100001,
9822029,100001,
8559054,100001,
6697335,100001,
8533037,100001,
10240988,100001,
9728976,100001,
9243214,100001,
10207438,100001,
9699532,100001,
9238486,100001,
9669727,100001,
8473527,100001,
5539428,100001,
7311460,100001,
9166554,100001,
5518171,100001,
6015463,100001,
9072935,100001,
7242737,100001,
6630811,100001,
6608433,100001,
6016392,100001,
6004034,100001,
4893422,100001,
2613077,100001,
4848981,100001,
4815061,100001,
957006,100001,
1922380,100001,
1891260,100001,
3108395,100001,
3687669,100001,
1748223,100001,
1750922,100001,
546417,100001,
3036954,100001,
2388400,100001,
2411451,100001,
3547125,100001,
3552748,100001,
3003925,100001,
2373627,100001,
1806597,100001,
2848769,100001,
900697,100001,
2172104,100001,
855697,100001,
2109765,100001,
826748,100001,
809015,100001,
468564,100001,
1162355,100001,
1299727,100001,
1053426,100001,
587969,100001,
343972,100001,
694907,100001,
126428,100001,
24911,100001,
73951969,100002,
73994468,100002,
71745873,100002,
73244638,100002,
74436364,100002,
74410575,100002,
67730168,100002,
68883997,100002,
65188555,100002,
67538378,100002,
68158282,100002,
58284121,100002,
67269096,100002,
65465173,100002,
67832148,100002,
66098721,100002,
53549056,100002,
63831920,100002,
61249688,100002,
47619675,100002,
52282676,100002,
52252314,100002,
44336563,100002,
9994215,100002,
50467513,100002,
43177073,100002,
44800519,100002,
11813092,100002,
45070928,100002,
44649337,100002,
44572260,100002,
43067882,100002,
11738683,100002,
12945065,100002,
13793226,100002,
13769555,100002,
42633398,100002,
40059994,100002,
38992260,100002,
14204984,100002,
41407430,100002,
40313573,100002,
24517329,100002,
23888185,100002,
17385923,100002,
37742037,100002,
36499667,100002,
35225273,100002,
29385824,100002,
35739024,100002,
34439084,100002,
26349678,100002,
32165466,100002,
33305809,100002,
34807048,100002,
30485948,100002,
28638916,100002,
29805062,100002,
25698041,100002,
26966006,100002,
31802354,100002,
17396131,100002,
29067808,100002,
28307771,100002,
28221525,100002,
28815372,100002,
15755032,100002,
26091392,100002,
24696790,100002,
25900672,100002,
26417496,100002,
24121175,100002,
25214042,100002,
24600396,100002,
55765523,100002,
46198965,100002,
54373843,100002,
57442662,100002,
58078622,100002,
58723116,100002,
57235378,100002,
60318584,100002,
73648700,100002,
72967287,100002,
71214136,100002,
71331182,100002,
60381430,100002,
60879435,100002,
65916496,100002,
62379627,100002,
64710792,100002,
63507513,100002,
62189510,100002,
60281906,100002,
59618193,100002,
58928818,100002,
57910677,100002,
55244982,100002,
55915157,100002,
48504209,100002,
50355971,100002,
53032330,100002,
50981314,100002,
50834002,100002,
49417178,100002,
50139794,100002,
46673732,100002,
22730902,100002,
22627353,100002,
16470831,100002,
23021663,100002,
19691875,100002,
20207381,100002,
21312102,100002,
20192689,100002,
17254114,100002,
19533118,100002,
17119189,100002,
20465957,100002,
17077595,100002,
17660086,100002,
17607038,100002,
18067859,100002,
16406990,100002,
16351071,100002,
16871919,100002,
13576546,100002,
14519296,100002,
13501912,100002,
13450578,100002,
4868093,100002,
10344877,100002,
12145803,100002,
11468515,100002,
572671,100002,
9721986,100002,
8442132,100002,
7226693,100002,
4003926,100002,
9050560,100002,
2317372,100002,
11394766,100002,
4281250,100002,
11046278,100002,
5771683,100002,
5938916,100002,
8931255,100002,
5905631,100002,
4341616,100002,
4286972,100002,
501585,100002,
1426094,100002,
1167975,100002,
277893,100002,
46928161,100003,
5746510,100003,
34764388,100003,
61230083,100003,
67057288,100003,
44572008,100003,
43426664,100003,
29668415,100003,
327822,100003,
397825,99997,600000
168988,99997,600000
281465,99998,600000
224758,99998,600000
308318,99998,600000
387007,99998,600000
368423,99998,600000
53643,99998,600000
24418,99999,600000
75297,99999,600000
393852,99999,600000
484131,99999,600000
495177,99999,600000
495000,99999,600000
552357,99999,600000
141672,99999,600000
288302,99999,600000
211812,99999,600000
201841,99999,600000
162495,99999,600000
159782,99999,600000
66387,99999,600000
28927,99999,600000
296095,99999,600000
413096,99999,600000
447854,99999,600000
16870,99999,600000
538726,100000,600000
572379,100000,600000
587103,100000,600000
546130,100000,600000
490636,100000,600000
474267,100000,600000
377286,100000,600000
358838,100000,600000
186327,100000,600000
161507,100000,600000
116366,100000,600000
75649,100000,600000
58109,100000,600000
37594,100000,600000
276894,100000,600000
336078,100000,600000
30219,100000,600000
473710,100000,600000
708,100000,600000
244484,100001,600000
64468,100001,600000
434251,100001,600000
449213,100001,600000
714147,99997,1200000
647217,99997,1200000
659714,99998,1200000
752077,99998,1200000
792416,99998,1200000
817339,99998,1200000
867947,99998,1200000
959898,99998,1200000
1007863,99998,1200000
1148639,99998,1200000
1176024,99998,1200000
917027,99998,1200000
772110,99998,1200000
755532,99998,1200000
669055,99998,1200000
652189,99998,1200000
627232,99999,1200000
762339,99999,1200000
767515,99999,1200000
686628,99999,1200000
754235,99999,1200000
750840,99999,1200000
715998,99999,1200000
704694,99999,1200000
675662,99999,1200000
635752,99999,1200000
633835,99999,1200000
779386,99999,1200000
826987,99999,1200000
842382,99999,1200000
868997,99999,1200000
888048,99999,1200000
904421,99999,1200000
905115,99999,1200000
954840,99999,1200000
976314,99999,1200000
1042573,99999,1200000
1042712,99999,1200000
1090675,99999,1200000
941079,99999,1200000
862145,99999,1200000
858414,99999,1200000
1199738,99999,1200000
621966,99999,1200000
644645,100000,1200000
753015,100000,1200000
689551,100000,1200000
711599,100000,1200000
972413,100000,1200000
1078679,100000,1200000
1622682,99997,1800000
1268683,99998,1800000
1492280,99998,1800000
1433662,99998,1800000
1200697,99998,1800000
1313126,99999,1800000
1377706,99999,1800000
1342664,99999,1800000
1261466,99999,1800000
1692624,99999,1800000
1783602,99999,1800000
1778607,99999,1800000
1773909,99999,1800000
1614048,99999,1800000
1606673,99999,1800000
1576905,99999,1800000
1545888,99999,1800000
1471651,99999,1800000
1460396,99999,1800000
1441203,99999,1800000
1230127,99999,1800000
1091676,100000,1800000
985075,100000,1800000
