broadcasted_at,fee_price,mined_at
267158,99997,600000
324179,99998,600000
409532,99998,600000
479135,99998,600000
338660,99998,600000
170376,99998,600000
493286,99998,600000
538440,99998,600000
599616,99998,600000
587497,99998,600000
505462,99998,600000
119290,99998,600000
46357,99999,600000
226434,99999,600000
201363,99999,600000
343831,99999,600000
370058,99999,600000
583000,99999,600000
562727,99999,600000
530633,99999,600000
519311,99999,600000
496106,99999,600000
431402,99999,600000
470843,99999,600000
428756,99999,600000
426414,99999,600000
390519,99999,600000
338986,99999,600000
329905,99999,600000
273808,99999,600000
266186,99999,600000
177941,99999,600000
131429,99999,600000
30058,99999,600000
559423,100000,600000
232861,100000,600000
501724,100000,600000
278172,100000,600000
437591,100000,600000
466143,100000,600000
378026,100000,600000
391616,100000,600000
384477,100000,600000
380312,100000,600000
359923,100000,600000
349068,100000,600000
341510,100000,600000
287792,100000,600000
310773,100000,600000
278875,100000,600000
880230,99997,1200000
1105639,99998,1200000
666438,99998,1200000
1181261,99998,1200000
1187665,99998,1200000
1130356,99998,1200000
654188,99998,1200000
718451,99999,1200000
739912,99999,1200000
713783,99999,1200000
676198,99999,1200000
747141,99999,1200000
759736,99999,1200000
861460,99999,1200000
873359,99999,1200000
967156,99999,1200000
1135816,99999,1200000
1168172,99999,1200000
1155610,99999,1200000
1031129,99999,1200000
1077123,99999,1200000
1013183,99999,1200000
962257,99999,1200000
624326,99999,1200000
270548,100000,1200000
247377,100000,1200000
51636,100000,1200000
651917,100000,1200000
172125,100000,1200000
759162,100000,1200000
46277,100000,1200000
891696,100000,1200000
902185,100000,1200000
1047675,100000,1200000
1119562,100000,1200000
1102618,100000,1200000
884859,100000,1200000
961106,100000,1200000
951232,100000,1200000
868686,100000,1200000
824202,100000,1200000
722607,100000,1200000
117487,100000,1200000
669105,100000,1200000
18318,100000,1200000
72174,100001,1200000
532358,100001,1200000
796763,100001,1200000
904931,100001,1200000
1137631,100001,1200000
1296327,99998,1800000
1311258,99998,1800000
1307939,99998,1800000
1325722,99998,1800000
1402233,99998,1800000
1498155,99998,1800000
1629893,99998,1800000
1683330,99998,1800000
1591672,99998,1800000
1238632,99998,1800000
1327190,99999,1800000
1308299,99999,1800000
1362881,99999,1800000
1416917,99999,1800000
1488973,99999,1800000
1684063,99999,1800000
1676226,99999,1800000
1619817,99999,1800000
1601556,99999,1800000
1567168,99999,1800000
1472596,99999,1800000
1391701,99999,1800000
1389462,99999,1800000
1376291,99999,1800000
1252932,99999,1800000
1325839,100000,1800000
1322449,100000,1800000
1224598,100000,1800000
1245133,100000,1800000
1240168,100000,1800000
1533774,100000,1800000
1407781,100000,1800000
1556717,100000,1800000
1278886,100000,1800000
1267793,100000,1800000
1217730,100000,1800000
1058417,100001,1800000
1088936,100001,1800000
995479,100001,1800000
923144,100001,1800000
796929,100001,1800000
826522,100001,1800000
1471027,100001,1800000
1511730,100001,1800000
1538196,100001,1800000
1641571,100001,1800000
1656387,100001,1800000
1626327,100001,1800000
1563935,100001,1800000
1534119,100001,1800000
1404997,100001,2400000
434815,100001,2400000
236381,100001,2400000
248489,100001,2400000
52378,100001,2400000
24297,100001,2400000
818769,100002,2400000
925183,100002,2400000
318814,100002,2400000
262416,100002,2400000
1495248,100003,2400000
