broadcasted_at,fee_price,mined_at
62229,18446744073709551615,600000
72489,18446744073709551615,600000
90155,18446744073709551615,600000
103423,18446744073709551615,600000
146205,18446744073709551615,600000
169063,18446744073709551615,600000
211315,18446744073709551615,600000
243063,18446744073709551615,600000
247218,18446744073709551615,600000
251531,18446744073709551615,600000
260274,18446744073709551615,600000
276018,18446744073709551615,600000
282946,18446744073709551615,600000
295286,18446744073709551615,600000
316591,18446744073709551615,600000
345485,18446744073709551615,600000
411875,18446744073709551615,600000
426026,18446744073709551615,600000
460812,18446744073709551615,600000
475503,18446744073709551615,600000
492709,18446744073709551615,600000
519044,18446744073709551615,600000
554865,18446744073709551615,600000
575166,18446744073709551615,600000
591313,18446744073709551615,600000
592932,18446744073709551615,600000
583208,18446744073709551615,600000
562447,18446744073709551615,600000
533447,18446744073709551615,600000
507525,18446744073709551615,600000
486506,18446744073709551615,600000
474776,18446744073709551615,600000
453063,18446744073709551615,600000
411924,18446744073709551615,600000
400807,18446744073709551615,600000
325347,18446744073709551615,600000
303305,18446744073709551615,600000
289958,18446744073709551615,600000
278022,18446744073709551615,600000
271533,18446744073709551615,600000
255412,18446744073709551615,600000
248349,18446744073709551615,600000
245504,18446744073709551615,600000
227341,18446744073709551615,600000
201425,18446744073709551615,600000
146346,18446744073709551615,600000
114964,18446744073709551615,600000
97039,18446744073709551615,600000
73559,18446744073709551615,600000
62510,18446744073709551615,600000
621819,18446744073709551615,1200000
639785,18446744073709551615,1200000
661934,18446744073709551615,1200000
673416,18446744073709551615,1200000
692940,18446744073709551615,1200000
719444,18446744073709551615,1200000
743292,18446744073709551615,1200000
756604,18446744073709551615,1200000
771716,18446744073709551615,1200000
778277,18446744073709551615,1200000
798865,18446744073709551615,1200000
808235,18446744073709551615,1200000
811809,18446744073709551615,1200000
813495,18446744073709551615,1200000
819862,18446744073709551615,1200000
841877,18446744073709551615,1200000
860747,18446744073709551615,1200000
870961,18446744073709551615,1200000
885859,18446744073709551615,1200000
890530,18446744073709551615,1200000
915665,18446744073709551615,1200000
929985,18446744073709551615,1200000
955926,18446744073709551615,1200000
965812,18446744073709551615,1200000
974281,18446744073709551615,1200000
986914,18446744073709551615,1200000
997076,18446744073709551615,1200000
1020438,18446744073709551615,1200000
1056443,18446744073709551615,1200000
1066090,18446744073709551615,1200000
1085333,18446744073709551615,1200000
1094099,18446744073709551615,1200000
1096788,18446744073709551615,1200000
1140539,18446744073709551615,1200000
1164833,18446744073709551615,1200000
1181054,18446744073709551615,1200000
1179411,18446744073709551615,1200000
1153559,18446744073709551615,1200000
1111134,18446744073709551615,1200000
1095075,18446744073709551615,1200000
1086123,18446744073709551615,1200000
1083542,18446744073709551615,1200000
1058579,18446744073709551615,1200000
1049062,18446744073709551615,1200000
1000939,18446744073709551615,1200000
993356,18446744073709551615,1200000
978448,18446744073709551615,1200000
971018,18446744073709551615,1200000
957167,18446744073709551615,1200000
938683,18446744073709551615,1200000
917127,18446744073709551615,1800000
912700,18446744073709551615,1800000
888963,18446744073709551615,1800000
872088,18446744073709551615,1800000
863108,18446744073709551615,1800000
846841,18446744073709551615,1800000
834324,18446744073709551615,1800000
814300,18446744073709551615,1800000
812529,18446744073709551615,1800000
809965,18446744073709551615,1800000
800018,18446744073709551615,1800000
1214312,18446744073709551615,1800000
1286937,18446744073709551615,1800000
1298333,18446744073709551615,1800000
1312597,18446744073709551615,1800000
1327411,18446744073709551615,1800000
1332479,18446744073709551615,1800000
1353434,18446744073709551615,1800000
1378932,18446744073709551615,1800000
1381508,18446744073709551615,1800000
1392733,18446744073709551615,1800000
1403629,18446744073709551615,1800000
1406816,18446744073709551615,1800000
1413742,18446744073709551615,1800000
1430592,18446744073709551615,1800000
1467136,18446744073709551615,1800000
1475085,18446744073709551615,1800000
1496226,18446744073709551615,1800000
1504119,18446744073709551615,1800000
1510088,18446744073709551615,1800000
1525134,18446744073709551615,1800000
1528356,18446744073709551615,1800000
1544852,18446744073709551615,1800000
1548860,18446744073709551615,1800000
1556350,18446744073709551615,1800000
