broadcasted_at,fee_price,mined_at
86270790,99997,
86148513,99997,
85838414,99998,
85898355,99998,
86031717,99998,
86271013,99998,
86023487,99998,
86263140,99998,
86199704,99998,
85976730,99998,
85826294,99998,
85802277,99999,
85983585,99999,
86245127,99999,
85823076,99999,
86189400,99999,
85949426,99999,
86114500,99999,
86086012,99999,
86058013,99999,
86036132,99999,
86387989,99999,
86376127,99999,
86373373,99999,
86346765,99999,
86322596,99999,
85948449,99999,
86266073,99999,
85911586,99999,
86262142,99999,
85800295,99999,
84865626,100000,
84579647,100000,
84859086,100000,
83853757,100000,
84846348,100000,
85621324,100000,
84524924,100000,
84816947,100000,
85588354,100000,
84812691,100000,
84803917,100000,
84789987,100000,
79838974,100000,
85518112,100000,
83139502,100000,
85506105,100000,
86296419,100000,
85504323,100000,
85497870,100000,
85817078,100000,
80469613,100000,
86251874,100000,
84661620,100000,
86235417,100000,
86217916,100000,
86212290,100000,
84613993,100000,
86195471,100000,
84640722,100000,
86170566,100000,
86165068,100000,
84635106,100000,
85398870,100000,
86113370,100000,
86089672,100000,
83797106,100000,
86068967,100000,
83777832,100000,
86042308,100000,
85194948,100000,
85350779,100000,
85350480,100000,
86012914,100000,
85185375,100000,
83771285,100000,
85178462,100000,
85284803,100000,
85796656,100000,
85886785,100000,
85885322,100000,
85884556,100000,
85877432,100000,
85874453,100000,
85873624,100000,
85148768,100000,
84439528,100000,
85823337,100000,
86322784,100000,
85243622,100000,
86320010,100000,
21020273,100000,
11279647,100001,
10010142,100001,
9918109,100001,
9911466,100001,
11998272,100001,
8150876,100001,
11894021,100001,
12516582,100001,
12551848,100001,
12524099,100001,
12507385,100001,
11926756,100001,
8131400,100001,
9188269,100001,
11860268,100001,
5103087,100001,
9831633,100001,
11729166,100001,
11739308,100001,
12985092,100001,
11712339,100001,
11696696,100001,
9824167,100001,
12926823,100001,
12297891,100001,
12260512,100001,
9817684,100001,
13691404,100001,
13589968,100001,
13659130,100001,
13619038,100001,
13586374,100001,
12231640,100001,
12812799,100001,
13534836,100001,
12815762,100001,
14364876,100001,
14353121,100001,
13503452,100001,
14323240,100001,
14305666,100001,
6812227,100001,
14945604,100001,
14884093,100001,
13427625,100001,
14832567,100001,
12802376,100001,
12740722,100001,
3653124,100001,
10992667,100001,
14716169,100001,
13940837,100001,
15555269,100001,
14070040,100001,
14029095,100001,
15489370,100001,
15464517,100001,
14654818,100001,
16198724,100001,
14645942,100001,
14017555,100001,
15382129,100001,
15352125,100001,
16096314,100001,
16091513,100001,
15303882,100001,
15248788,100001,
15215103,100001,
16031924,100001,
13955126,100001,
11564020,100001,
13295395,100001,
15153674,100001,
16696461,100001,
16733129,100001,
16708877,100001,
18578593,100001,
18571853,100001,
16711370,100001,
16705734,100001,
19143668,100001,
17347970,100001,
16677580,100001,
16587581,100001,
17899111,100001,
17270810,100001,
16604722,100001,
19696275,100001,
19707776,100001,
17251274,100001,
9779956,100001,
19609692,100001,
19600083,100001,
18934649,100001,
20238027,100001,
20252001,100001,
20251457,100001,
16524983,100001,
20202623,100001,
20197231,100001,
15853771,100001,
15806936,100001,
20900935,100001,
20873717,100001,
17704215,100001,
20120767,100001,
21577399,100001,
21569403,100001,
20775908,100001,
17712000,100001,
20740162,100001,
21473243,100001,
22181829,100001,
22194922,100001,
22750803,100001,
16486608,100001,
9772104,100001,
21415837,100001,
15098096,100001,
23223670,100001,
23241557,100001,
23218534,100001,
22069662,100001,
24543454,100001,
25190742,100001,
20623855,100001,
23169642,100001,
25129006,100001,
25756982,100001,
20633870,100001,
24458554,100001,
21320840,100001,
23107440,100001,
23057025,100001,
26985729,100001,
25656753,100001,
25654588,100001,
23779189,100001,
26209335,100001,
26838084,100001,
26161427,100001,
26791121,100001,
27595845,100001,
28143173,100001,
27580928,100001,
27525596,100001,
22561264,100001,
27501944,100001,
27474199,100001,
25588408,100001,
30536208,100001,
29389479,100001,
31068979,100001,
32356396,100001,
26743141,100001,
31048481,100001,
31050528,100001,
31724499,100001,
28637583,100001,
32270217,100001,
30483064,100001,
26728640,100001,
20019463,100001,
24876818,100001,
28555512,100001,
31582151,100001,
32919811,100001,
32876739,100001,
32835984,100001,
26630810,100001,
32809349,100001,
32085420,100001,
33594372,100001,
32133833,100001,
32113832,100001,
33567544,100001,
33547540,100001,
33500927,100001,
32673833,100001,
34104280,100001,
31569908,100001,
34068048,100001,
33424436,100001,
34005777,100001,
31550855,100001,
31546149,100001,
33343339,100001,
33919569,100001,
34744827,100001,
34747090,100001,
33920761,100001,
35381741,100001,
35374984,100001,
35374036,100001,
35335480,100001,
35336044,100001,
32607291,100001,
34652440,100001,
35982251,100001,
31991891,100001,
35260600,100001,
33904964,100001,
35230673,100001,
36594215,100001,
35214141,100001,
35869246,100001,
38392959,100001,
37193674,100001,
37189387,100001,
37101974,100001,
36537689,100001,
38351602,100001,
37794114,100001,
38909052,100001,
37792696,100001,
34534908,100001,
33880531,100001,
