broadcasted_at,fee_price,mined_at
1379,18446744073709551615,600000
5468,18446744073709551615,600000
69751,18446744073709551615,600000
72334,18446744073709551615,600000
80018,18446744073709551615,600000
94849,18446744073709551615,600000
158123,18446744073709551615,600000
162043,18446744073709551615,600000
179703,18446744073709551615,600000
187516,18446744073709551615,600000
214226,18446744073709551615,600000
225855,18446744073709551615,600000
242501,18446744073709551615,600000
276524,18446744073709551615,600000
311323,18446744073709551615,600000
318164,18446744073709551615,600000
339045,18446744073709551615,600000
355090,18446744073709551615,600000
380705,18446744073709551615,600000
390186,18446744073709551615,600000
408723,18446744073709551615,600000
427972,18446744073709551615,600000
443742,18446744073709551615,600000
454193,18446744073709551615,600000
463624,18446744073709551615,600000
489019,18446744073709551615,600000
505595,18446744073709551615,600000
537240,18446744073709551615,600000
570332,18446744073709551615,600000
594417,18446744073709551615,600000
540015,18446744073709551615,600000
514681,18446744073709551615,600000
501310,18446744073709551615,600000
487866,18446744073709551615,600000
457473,18446744073709551615,600000
446181,18446744073709551615,600000
441842,18446744073709551615,600000
424952,18446744073709551615,600000
394052,18446744073709551615,600000
384615,18446744073709551615,600000
371285,18446744073709551615,600000
354505,18446744073709551615,600000
337863,18446744073709551615,600000
317186,18446744073709551615,600000
285628,18446744073709551615,600000
250660,18446744073709551615,600000
235834,18446744073709551615,600000
218558,18446744073709551615,600000
194187,18446744073709551615,600000
186096,18446744073709551615,600000
173091,18446744073709551615,1200000
160946,18446744073709551615,1200000
140906,18446744073709551615,1200000
82040,18446744073709551615,1200000
612904,18446744073709551615,1200000
651687,18446744073709551615,1200000
689966,18446744073709551615,1200000
724838,18446744073709551615,1200000
736486,18446744073709551615,1200000
757213,18446744073709551615,1200000
780693,18446744073709551615,1200000
801597,18446744073709551615,1200000
808725,18446744073709551615,1200000
830474,18446744073709551615,1200000
847881,18446744073709551615,1200000
857200,18446744073709551615,1200000
885782,18446744073709551615,1200000
891951,18446744073709551615,1200000
903587,18446744073709551615,1200000
918288,18446744073709551615,1200000
