broadcasted_at,fee_price,mined_at
33144,18446744073709551615,600000
49159,18446744073709551615,600000
73761,18446744073709551615,600000
89503,18446744073709551615,600000
113211,18446744073709551615,600000
136366,18446744073709551615,600000
157405,18446744073709551615,600000
178289,18446744073709551615,600000
206356,18446744073709551615,600000
242560,18446744073709551615,600000
258363,18446744073709551615,600000
270834,18446744073709551615,600000
281865,18446744073709551615,600000
301930,18446744073709551615,600000
338742,18446744073709551615,600000
346743,18446744073709551615,600000
351463,18446744073709551615,600000
381716,18446744073709551615,600000
404383,18446744073709551615,600000
415701,18446744073709551615,600000
452488,18446744073709551615,600000
470660,18446744073709551615,600000
477470,18446744073709551615,600000
480564,18446744073709551615,600000
488989,18446744073709551615,600000
495804,18446744073709551615,600000
517456,18446744073709551615,600000
529472,18446744073709551615,600000
546342,18446744073709551615,600000
567224,18446744073709551615,600000
566479,18446744073709551615,600000
534433,18446744073709551615,600000
519846,18446744073709551615,600000
508917,18446744073709551615,600000
493651,18446744073709551615,600000
484602,18446744073709551615,600000
477920,18446744073709551615,600000
471789,18446744073709551615,600000
454547,18446744073709551615,600000
431423,18446744073709551615,600000
412524,18446744073709551615,600000
402894,18446744073709551615,600000
372471,18446744073709551615,600000
346991,18446744073709551615,600000
341340,18446744073709551615,600000
330407,18446744073709551615,600000
293402,18446744073709551615,600000
281223,18446744073709551615,600000
260155,18446744073709551615,600000
257655,18446744073709551615,600000
213346,18446744073709551615,1200000
186175,18446744073709551615,1200000
171741,18446744073709551615,1200000
156280,18446744073709551615,1200000
125335,18446744073709551615,1200000
616373,18446744073709551615,1200000
644786,18446744073709551615,1200000
656169,18446744073709551615,1200000
670124,18446744073709551615,1200000
693056,18446744073709551615,1200000
697368,18446744073709551615,1200000
708390,18446744073709551615,1200000
720051,18446744073709551615,1200000
751928,18446744073709551615,1200000
773182,18446744073709551615,1200000
823258,18446744073709551615,1200000
861507,18446744073709551615,1200000
869535,18446744073709551615,1200000
914704,18446744073709551615,1200000
936463,18446744073709551615,1200000
968575,18446744073709551615,1200000
987484,18446744073709551615,1200000
1019456,18446744073709551615,1200000
1023832,18446744073709551615,1200000
1058600,18446744073709551615,1200000
1070450,18446744073709551615,1200000
1083756,18446744073709551615,1200000
1101404,18446744073709551615,1200000
1127315,18446744073709551615,1200000
1143332,18446744073709551615,1200000
1191504,18446744073709551615,1200000
1195650,18446744073709551615,1200000
1167406,18446744073709551615,1200000
